feature,psi,status,monitoring_window,timestamp,overall_status,psi_stable_thresh,psi_warning_thresh
Age,0.000697,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Annual_Income,0.000399,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Monthly_Inhand_Salary,0.00018,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Num_Bank_Accounts,0.000852,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Num_Credit_Card,0.000446,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Interest_Rate,0.000322,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Num_of_Loan,0.000381,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Delay_from_due_date,0.00115,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Num_of_Delayed_Payment,0.000619,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Changed_Credit_Limit,0.00071,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Num_Credit_Inquiries,0.001034,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Outstanding_Debt,0.001677,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Credit_Utilization_Ratio,0.000724,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Credit_History_Age,0.000456,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Total_EMI_per_month,0.000949,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Amount_invested_monthly,0.000848,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Monthly_Balance,0.000403,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Credit_Mix,9e-06,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_of_Min_Amount,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
debt_to_income,0.001058,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
loan_to_income,0.000595,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
emi_to_income,0.000957,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
credit_card_util_proxy,0.00165,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
delay_per_loan,0.000465,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
delinquency_rate,0.000545,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
inquiry_per_account,0.000821,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
credit_age_years,0.000364,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Accountant,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Architect,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Developer,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Doctor,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Engineer,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Entrepreneur,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Journalist,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Lawyer,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Manager,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Mechanic,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Media_Manager,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Musician,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Scientist,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Teacher,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Occupation_Writer,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_High_spent_Large_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_High_spent_Medium_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_High_spent_Small_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_Low_spent_Large_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_Low_spent_Medium_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
Payment_Behaviour_Low_spent_Small_value_payments,0.0,stable,test_split_check,2026-04-20T11:51:18.367507,stable,0.1,0.2
