feature,importance
Credit_History_Age,3695
Changed_Credit_Limit,3505
credit_card_util_proxy,3260
Credit_Utilization_Ratio,3249
Outstanding_Debt,3236
Amount_invested_monthly,3007
Annual_Income,2945
Total_EMI_per_month,2944
debt_to_income,2888
Age,2860
Monthly_Balance,2813
emi_to_income,2632
Monthly_Inhand_Salary,2606
delay_per_loan,2509
loan_to_income,2447
Interest_Rate,2355
inquiry_per_account,2354
Delay_from_due_date,2330
delinquency_rate,2158
Num_of_Delayed_Payment,1882
credit_age_years,1699
Num_Credit_Inquiries,1489
Num_Bank_Accounts,1432
Num_Credit_Card,1278
Num_of_Loan,608
Credit_Mix,395
Payment_Behaviour_Low_spent_Small_value_payments,292
Occupation_Lawyer,203
Payment_of_Min_Amount,184
Payment_Behaviour_High_spent_Medium_value_payments,173
Occupation_Architect,168
Occupation_Entrepreneur,166
Occupation_Musician,165
Occupation_Writer,161
Occupation_Journalist,157
Occupation_Developer,156
Occupation_Engineer,154
Occupation_Scientist,154
Payment_Behaviour_High_spent_Large_value_payments,147
Payment_Behaviour_Low_spent_Medium_value_payments,146
Occupation_Mechanic,142
Occupation_Accountant,140
Occupation_Teacher,139
Occupation_Manager,139
Occupation_Doctor,138
Occupation_Media_Manager,138
Payment_Behaviour_High_spent_Small_value_payments,123
Payment_Behaviour_Low_spent_Large_value_payments,121
